# mesh name: mesh_y
# mesh half-size: (0.5,25,0.5) [cm] 
# mesh center: (0,0,1.4) [cm] 
# mesh segments: 1 500 1
# primitive scorer name: dose
# mesh dx dy dz: 1 0.1 1
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
0,173,0,-0.5,-7.699999999999903,0.9,9.612599703109532e-10,7.841432856966553e-21,386
0,174,0,-0.5,-7.599999999999904,0.9,8.723727263722219e-10,6.39536306327363e-21,413
0,175,0,-0.5,-7.499999999999904,0.9,6.998478664285521e-10,5.541639525290994e-21,345
0,176,0,-0.5,-7.399999999999904,0.9,1.003564748411569e-09,9.57106867169556e-21,399
0,177,0,-0.5,-7.299999999999905,0.9,1.041938214331187e-09,9.523093000501964e-21,453
0,178,0,-0.5,-7.199999999999905,0.9,1.041196762718502e-09,8.781221643003682e-21,420
0,179,0,-0.5,-7.099999999999905,0.9,1.010508864927316e-09,7.255223506068396e-21,465
0,180,0,-0.5,-6.999999999999906,0.9,1.204593761852563e-09,1.1698272665091e-20,454
0,181,0,-0.5,-6.899999999999906,0.9,1.010460567089237e-09,8.556921327022166e-21,463
0,182,0,-0.5,-6.799999999999907,0.9,7.77441104696768e-10,4.683667126271413e-21,425
0,183,0,-0.5,-6.699999999999907,0.9,9.466784109797661e-10,6.849564826403139e-21,433
0,184,0,-0.5,-6.599999999999907,0.9,1.214398716869012e-09,1.132722374294935e-20,462
0,185,0,-0.5,-6.499999999999908,0.9,1.062682937510775e-09,7.72680291765692e-21,463
0,186,0,-0.5,-6.399999999999908,0.9,9.814371903086624e-10,6.83060556939717e-21,460
0,187,0,-0.5,-6.299999999999908,0.9,9.509137008360562e-10,6.430350348040201e-21,488
0,188,0,-0.5,-6.199999999999909,0.9,1.011277083559546e-09,8.115397228600458e-21,481
0,189,0,-0.5,-6.099999999999909,0.9,1.05272942678976e-09,8.785236470980135e-21,505
0,190,0,-0.5,-5.999999999999909,0.9,1.372933645632137e-09,1.523488865925687e-20,513
0,191,0,-0.5,-5.89999999999991,0.9,1.225828727660835e-09,1.01167306834827e-20,567
0,192,0,-0.5,-5.79999999999991,0.9,1.276349750243575e-09,1.030020958329075e-20,575
0,193,0,-0.5,-5.69999999999991,0.9,1.236902584278769e-09,1.091332445096834e-20,556
0,194,0,-0.5,-5.599999999999911,0.9,1.413181692777963e-09,1.089878151952651e-20,607
0,195,0,-0.5,-5.499999999999911,0.9,1.294532406548284e-09,9.069092607815225e-21,572
0,196,0,-0.5,-5.399999999999912,0.9,1.534389454539368e-09,1.242749560435891e-20,620
0,197,0,-0.5,-5.299999999999912,0.9,1.557775373720474e-09,1.349000570085619e-20,666
0,198,0,-0.5,-5.199999999999912,0.9,1.276597751899799e-09,9.799563303151707e-21,587
0,199,0,-0.5,-5.099999999999913,0.9,1.060886324752227e-09,7.893982553843959e-21,601
0,200,0,-0.5,-4.999999999999913,0.9,1.193593932012873e-09,8.620823951077663e-21,597
0,201,0,-0.5,-4.899999999999913,0.9,1.587344103182283e-09,1.344964091473805e-20,669
0,202,0,-0.5,-4.799999999999914,0.9,1.518835935803385e-09,1.027615419367509e-20,709
0,203,0,-0.5,-4.699999999999914,0.9,1.588545687171742e-09,1.205839096270735e-20,734
0,204,0,-0.5,-4.599999999999914,0.9,1.456284063823619e-09,1.037980684985548e-20,683
0,205,0,-0.5,-4.499999999999915,0.9,1.564264206357295e-09,1.171805958248165e-20,778
0,206,0,-0.5,-4.399999999999915,0.9,1.696955089942366e-09,1.452930405493648e-20,771
0,207,0,-0.5,-4.299999999999915,0.9,1.637825338792123e-09,1.225837218238135e-20,769
0,208,0,-0.5,-4.199999999999916,0.9,1.627287215455614e-09,1.27439334545103e-20,788
0,209,0,-0.5,-4.099999999999916,0.9,1.767910919378459e-09,1.541291943521777e-20,786
0,210,0,-0.5,-3.999999999999916,0.9,1.956043887142579e-09,1.699120226803194e-20,851
0,211,0,-0.5,-3.899999999999916,0.9,1.815595896041645e-09,1.485995730321103e-20,874
0,212,0,-0.5,-3.799999999999916,0.9,1.952211135302397e-09,1.773308509621432e-20,925
0,213,0,-0.5,-3.699999999999916,0.9,1.951734354926062e-09,1.602129476797322e-20,945
0,214,0,-0.5,-3.599999999999916,0.9,2.124543902421301e-09,1.718700516160435e-20,964
0,215,0,-0.5,-3.499999999999916,0.9,2.180849515144367e-09,1.391978019063862e-20,1031
0,216,0,-0.5,-3.399999999999916,0.9,2.707897520855542e-09,2.254412186020059e-20,1099
0,217,0,-0.5,-3.299999999999915,0.9,3.251039660765019e-09,3.293491118176942e-20,1185
0,218,0,-0.5,-3.199999999999915,0.9,3.34998800211228e-09,2.737509800345773e-20,1274
