# mesh name: mesh_z
# mesh half-size: (2,2,17.5) [cm] 
# mesh center: (0,0,17.5) [cm] 
# mesh segments: 1 1 205
# primitive scorer name: dose
# mesh dx dy dz: 4 4 0.170732
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
0,0,55,-2,-2,9.390243902439023,3.482804393821885e-08,1.224492750449011e-20,188675
0,0,56,-2,-2,9.560975609756095,3.451257824388302e-08,1.21677106122841e-20,186821
0,0,57,-2,-2,9.731707317073168,3.40500031971986e-08,1.190586610885403e-20,183650
0,0,58,-2,-2,9.90243902439024,3.354686858799792e-08,1.184298108044492e-20,181150
0,0,59,-2,-2,10.07317073170731,3.314511719768225e-08,1.168794371753418e-20,178964
0,0,60,-2,-2,10.24390243902439,3.285529045130279e-08,1.162420057045682e-20,177561
0,0,61,-2,-2,10.41463414634146,3.260533265533389e-08,1.15235303777202e-20,175803
0,0,62,-2,-2,10.58536585365853,3.228719457776085e-08,1.14097257799008e-20,173366
0,0,63,-2,-2,10.7560975609756,3.191659250706323e-08,1.132458225201597e-20,171630
0,0,64,-2,-2,10.92682926829267,3.162313924701799e-08,1.117615999666916e-20,170111
0,0,65,-2,-2,11.09756097560975,3.113740434612438e-08,1.096726924072154e-20,167998
0,0,66,-2,-2,11.26829268292682,3.096535090220041e-08,1.093752545595597e-20,166656
0,0,67,-2,-2,11.43902439024389,3.050700423329904e-08,1.074363702057115e-20,164455
0,0,68,-2,-2,11.60975609756096,3.017171641555662e-08,1.070275270606186e-20,162247
0,0,69,-2,-2,11.78048780487804,2.989097770600268e-08,1.054441269823605e-20,160861
0,0,70,-2,-2,11.95121951219511,2.957326148147589e-08,1.040905643558178e-20,159252
0,0,71,-2,-2,12.12195121951218,2.916854190426384e-08,1.025537686423573e-20,157456
0,0,72,-2,-2,12.29268292682925,2.879155828587276e-08,1.013229295510418e-20,155393
0,0,73,-2,-2,12.46341463414633,2.867270240196486e-08,1.009696243360423e-20,153902
0,0,74,-2,-2,12.6341463414634,2.835321850122854e-08,1.000780794867369e-20,152943
0,0,75,-2,-2,12.80487804878047,2.817350739839643e-08,9.978817457787503e-21,151210
0,0,76,-2,-2,12.97560975609754,2.799670499077074e-08,9.947740160550998e-21,149709
0,0,77,-2,-2,13.14634146341462,2.769612499015327e-08,9.868060847007011e-21,147983
0,0,78,-2,-2,13.31707317073169,2.728201265372331e-08,9.695517144792805e-21,146167
0,0,79,-2,-2,13.48780487804876,2.696025247152067e-08,9.568288234599033e-21,144127
0,0,80,-2,-2,13.65853658536583,2.662683090911947e-08,9.446775546180184e-21,142762
0,0,81,-2,-2,13.82926829268291,2.635331156366017e-08,9.343893024358164e-21,140954
0,0,82,-2,-2,13.99999999999998,2.600379536859902e-08,9.183292391240777e-21,139568
0,0,83,-2,-2,14.17073170731705,2.583919202520963e-08,9.124712151752903e-21,138329
0,0,84,-2,-2,14.34146341463412,2.54993623981845e-08,9.075292188516212e-21,136640
0,0,85,-2,-2,14.5121951219512,2.535072442795292e-08,8.988539097698258e-21,135200
0,0,86,-2,-2,14.68292682926827,2.496964243043826e-08,8.875353207823677e-21,133794
0,0,87,-2,-2,14.85365853658534,2.46924222452277e-08,8.722825941761004e-21,132133
0,0,88,-2,-2,15.02439024390241,2.454287548796108e-08,8.69124666594106e-21,131071
0,0,89,-2,-2,15.19512195121949,2.430630248313423e-08,8.664599461700492e-21,129502
0,0,90,-2,-2,15.36585365853656,2.410158285793046e-08,8.541110555473932e-21,128791
0,0,91,-2,-2,15.53658536585363,2.388514612877447e-08,8.497143279763836e-21,127110
0,0,92,-2,-2,15.7073170731707,2.358312972988809e-08,8.411986968978939e-21,125578
0,0,93,-2,-2,15.87804878048778,2.335284542025749e-08,8.330630287195835e-21,124191
0,0,94,-2,-2,16.04878048780485,2.302928207289646e-08,8.19530028157059e-21,122980
0,0,95,-2,-2,16.21951219512192,2.28500679783442e-08,8.171191354595461e-21,121394
0,0,96,-2,-2,16.390243902439,2.247428350405895e-08,7.951010148937057e-21,120273
0,0,97,-2,-2,16.56097560975607,2.23903253701683e-08,7.989451808413385e-21,118692
0,0,98,-2,-2,16.73170731707314,2.207572151176755e-08,7.853355337045415e-21,117479
0,0,99,-2,-2,16.90243902439022,2.191307359944697e-08,7.796203734724212e-21,116263
0,0,100,-2,-2,17.07317073170729,2.159678589602285e-08,7.663311416244765e-21,114774
0,0,101,-2,-2,17.24390243902437,2.143366591271724e-08,7.644477262255171e-21,113641
0,0,102,-2,-2,17.41463414634144,2.127885119072596e-08,7.59268100921029e-21,112882
0,0,103,-2,-2,17.58536585365852,2.110098862105221e-08,7.50919950438338e-21,112352
0,0,104,-2,-2,17.75609756097559,2.091202086820015e-08,7.471758448131854e-21,110895
0,0,105,-2,-2,17.92682926829266,2.073889884581045e-08,7.441894351134151e-21,109616
0,0,106,-2,-2,18.09756097560974,2.048381056696254e-08,7.339162775131086e-21,108095
0,0,107,-2,-2,18.26829268292681,2.025744183104809e-08,7.257709620119432e-21,106629
0,0,108,-2,-2,18.43902439024389,1.99014803038511e-08,7.135143242432673e-21,105091
0,0,109,-2,-2,18.60975609756096,1.970116152886333e-08,7.048097664561295e-21,104149
0,0,110,-2,-2,18.78048780487804,1.940683709743473e-08,6.940332703394957e-21,102650
0,0,111,-2,-2,18.95121951219511,1.923949863980604e-08,6.897419863084687e-21,101710
0,0,112,-2,-2,19.12195121951218,1.897166207911707e-08,6.741664889697827e-21,100508
0,0,113,-2,-2,19.29268292682926,1.8807369320188e-08,6.686510247863305e-21,99843
0,0,114,-2,-2,19.46341463414633,1.870431206288305e-08,6.705713339343316e-21,98582
0,0,115,-2,-2,19.63414634146341,1.846213513004798e-08,6.583176074395034e-21,97439
0,0,116,-2,-2,19.80487804878048,1.82479827683393e-08,6.533742467887249e-21,96322
0,0,117,-2,-2,19.97560975609755,1.810123783511533e-08,6.458086568582893e-21,95601
0,0,118,-2,-2,20.14634146341463,1.798898804830616e-08,6.411768359060736e-21,95032
0,0,119,-2,-2,20.3170731707317,1.79350754323684e-08,6.420516309310833e-21,93820
0,0,120,-2,-2,20.48780487804878,1.776131318536144e-08,6.369241190459952e-21,93184
0,0,121,-2,-2,20.65853658536585,1.755072386447373e-08,6.334904721525826e-21,91759
0,0,122,-2,-2,20.82926829268293,1.721372389569493e-08,6.161935492284918e-21,90830
0,0,123,-2,-2,21,1.706019352395465e-08,6.082003646129036e-21,89678
0,0,124,-2,-2,21.17073170731707,1.695354186320867e-08,6.104063526333619e-21,88790
0,0,125,-2,-2,21.34146341463415,1.677667925263075e-08,6.030956815984718e-21,87884
0,0,126,-2,-2,21.51219512195122,1.64971130986798e-08,5.896971217505565e-21,86716
0,0,127,-2,-2,21.6829268292683,1.640992649971892e-08,5.900625417825354e-21,86232
0,0,128,-2,-2,21.85365853658537,1.622338298457505e-08,5.854861670445366e-21,84850
0,0,129,-2,-2,22.02439024390245,1.595829360418068e-08,5.715212034893301e-21,83751
0,0,130,-2,-2,22.19512195121952,1.585499088338984e-08,5.704181124179648e-21,83269
0,0,131,-2,-2,22.36585365853659,1.565394716514777e-08,5.647078350484105e-21,82133
