# mesh name: mesh_x
# mesh half-size: (25,0.5,0.5) [cm] 
# mesh center: (0,0,1.4) [cm] 
# mesh segments: 500 1 1
# primitive scorer name: dose
# mesh dx dy dz: 0.1 1 1
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
22,0,0,-22.79999999999997,-0.5,0.9,3.33579081097578e-11,1.694297566303239e-22,32
23,0,0,-22.69999999999997,-0.5,0.9,2.261110598407584e-11,1.267711420747615e-22,32
24,0,0,-22.59999999999997,-0.5,0.9,3.338369785011261e-11,2.249284019426771e-22,19
25,0,0,-22.49999999999996,-0.5,0.9,3.003435283233816e-11,1.091421141606256e-22,35
26,0,0,-22.39999999999996,-0.5,0.9,3.292020986518165e-11,1.948376689009367e-22,21
27,0,0,-22.29999999999996,-0.5,0.9,4.010508172775374e-11,4.779280633441617e-22,33
28,0,0,-22.19999999999996,-0.5,0.9,1.220393764920803e-11,1.912160834275634e-23,27
29,0,0,-22.09999999999996,-0.5,0.9,1.506622013859058e-11,3.963341950605127e-23,22
30,0,0,-21.99999999999996,-0.5,0.9,3.952550800505553e-11,2.245208748754231e-22,33
31,0,0,-21.89999999999996,-0.5,0.9,5.630171389852479e-11,5.133925158844592e-22,37
32,0,0,-21.79999999999995,-0.5,0.9,7.89973606619705e-11,5.186791739639081e-22,43
33,0,0,-21.69999999999995,-0.5,0.9,3.473853014462779e-11,1.643844626961441e-22,36
34,0,0,-21.59999999999995,-0.5,0.9,3.341571210166824e-11,2.14863871612252e-22,31
35,0,0,-21.49999999999995,-0.5,0.9,2.853291305115896e-11,1.182424920070433e-22,33
36,0,0,-21.39999999999995,-0.5,0.9,5.325500023586451e-11,3.675960999035483e-22,37
37,0,0,-21.29999999999995,-0.5,0.9,4.272000957944198e-11,2.341954049627582e-22,32
38,0,0,-21.19999999999995,-0.5,0.9,4.366301522950256e-11,2.045562524071376e-22,43
39,0,0,-21.09999999999994,-0.5,0.9,4.795637110669574e-11,3.593971196553108e-22,38
40,0,0,-20.99999999999994,-0.5,0.9,3.141502159285414e-11,3.480258857786455e-22,25
41,0,0,-20.89999999999994,-0.5,0.9,4.648671450919602e-11,2.263636639571791e-22,43
42,0,0,-20.79999999999994,-0.5,0.9,3.536671338072159e-11,8.768680449056096e-23,39
43,0,0,-20.69999999999994,-0.5,0.9,7.788151252007196e-11,6.845579376253973e-22,43
44,0,0,-20.59999999999994,-0.5,0.9,4.715607183854924e-11,2.457214608825719e-22,49
45,0,0,-20.49999999999994,-0.5,0.9,2.974277166572679e-11,1.729074155871112e-22,37
46,0,0,-20.39999999999993,-0.5,0.9,4.790566042721903e-11,2.759565549974649e-22,51
47,0,0,-20.29999999999993,-0.5,0.9,4.963546528197731e-11,2.40178738440229e-22,50
48,0,0,-20.19999999999993,-0.5,0.9,4.473109971260841e-11,1.539625532610634e-22,56
49,0,0,-20.09999999999993,-0.5,0.9,4.931728078297258e-11,2.383501501351166e-22,46
50,0,0,-19.99999999999993,-0.5,0.9,6.122635216967098e-11,3.201558455010158e-22,51
51,0,0,-19.89999999999993,-0.5,0.9,3.866407470135901e-11,1.13431356412736e-22,58
52,0,0,-19.79999999999993,-0.5,0.9,4.838313944395696e-11,2.023153252557923e-22,51
53,0,0,-19.69999999999992,-0.5,0.9,5.700137182921675e-11,3.100269144981991e-22,42
54,0,0,-19.59999999999992,-0.5,0.9,6.975364411847535e-11,4.217231353900736e-22,51
55,0,0,-19.49999999999992,-0.5,0.9,3.275436210828283e-11,1.198586749734279e-22,35
56,0,0,-19.39999999999992,-0.5,0.9,4.723434898894593e-11,2.523089737577142e-22,51
57,0,0,-19.29999999999992,-0.5,0.9,4.128354740894961e-11,1.541147243807635e-22,54
