# PRIMO
# version: 0.3.1.1772
# Project ID: Kalibracja5
#
# Calculated curve
# x(cm)  y(cm)  z(cm)  Dose[eV/g]
#------------------------------------------------
   0.00E+000     0.00E+000     2.27E+001    1.7443E-001
   0.00E+000     0.00E+000     2.28E+001    1.7273E-001
   0.00E+000     0.00E+000     2.29E+001    1.7267E-001
   0.00E+000     0.00E+000     2.30E+001    1.7260E-001
   0.00E+000     0.00E+000     2.31E+001    1.7126E-001
   0.00E+000     0.00E+000     2.32E+001    1.6992E-001
   0.00E+000     0.00E+000     2.33E+001    1.6783E-001
   0.00E+000     0.00E+000     2.34E+001    1.6573E-001
   0.00E+000     0.00E+000     2.35E+001    1.6517E-001
   0.00E+000     0.00E+000     2.36E+001    1.6461E-001
   0.00E+000     0.00E+000     2.37E+001    1.6385E-001
   0.00E+000     0.00E+000     2.38E+001    1.6309E-001
   0.00E+000     0.00E+000     2.39E+001    1.6194E-001
   0.00E+000     0.00E+000     2.40E+001    1.6078E-001
   0.00E+000     0.00E+000     2.41E+001    1.5974E-001
   0.00E+000     0.00E+000     2.42E+001    1.5871E-001
   0.00E+000     0.00E+000     2.43E+001    1.5811E-001
   0.00E+000     0.00E+000     2.44E+001    1.5752E-001
   0.00E+000     0.00E+000     2.45E+001    1.5652E-001
   0.00E+000     0.00E+000     2.46E+001    1.5553E-001
   0.00E+000     0.00E+000     2.47E+001    1.5385E-001
   0.00E+000     0.00E+000     2.48E+001    1.5217E-001
   0.00E+000     0.00E+000     2.49E+001    1.5146E-001
   0.00E+000     0.00E+000     2.50E+001    1.5076E-001
   0.00E+000     0.00E+000     2.51E+001    1.5012E-001
   0.00E+000     0.00E+000     2.52E+001    1.4949E-001
   0.00E+000     0.00E+000     2.53E+001    1.4954E-001
   0.00E+000     0.00E+000     2.54E+001    1.4960E-001
   0.00E+000     0.00E+000     2.55E+001    1.4818E-001
   0.00E+000     0.00E+000     2.56E+001    1.4676E-001
   0.00E+000     0.00E+000     2.57E+001    1.4640E-001
   0.00E+000     0.00E+000     2.58E+001    1.4604E-001
   0.00E+000     0.00E+000     2.59E+001    1.4492E-001
   0.00E+000     0.00E+000     2.60E+001    1.4379E-001
   0.00E+000     0.00E+000     2.61E+001    1.4273E-001
   0.00E+000     0.00E+000     2.62E+001    1.4167E-001
   0.00E+000     0.00E+000     2.63E+001    1.4083E-001
   0.00E+000     0.00E+000     2.64E+001    1.4000E-001
   0.00E+000     0.00E+000     2.65E+001    1.3993E-001
