#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:25|FiberSleeve v2:1;            271.0000000001;423.6749999999;172.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:25|Bottom_ver4 v3:1;            271.0;283.6749999999;170.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:25|Top_ver4 v2:1;               271.0;283.675;174.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:26;                             271.0;242.2658407802;172.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:26|D3DF_SC_Cell v6:1;           271.0;266.3249999999;172.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:26|Fiber v2:1;                  271.0;126.3249999999;172.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:26|FiberSleeve v2:1;            270.9999999999;126.3249999999;172.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:26|Bottom_ver4 v3:1;            271.0;266.3249999999;170.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:26|Top_ver4 v2:1;               271.0;266.3249999999;174.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:27;                             271.0;307.7341592196;185.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:27|D3DF_SC_Cell v6:1;           271.0;283.6749999999;185.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:27|Fiber v2:1;                  271.0;423.6749999999;185.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:27|FiberSleeve v2:1;            271.0000000001;423.6749999999;185.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:27|Bottom_ver4 v3:1;            271.0;283.6749999999;183.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:27|Top_ver4 v2:1;               271.0;283.675;187.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:28;                             271.0;242.2658407802;185.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:28|D3DF_SC_Cell v6:1;           271.0;266.3249999999;185.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:28|Fiber v2:1;                  271.0;126.3249999999;185.2000000001
