#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
Phantom v18|Assembly v13:1|ScintillatorBrick v10:17|FiberSleeve v4:1;           166.4;42.95;84.6499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:18;                            166.4235731815;133.9941443429;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:18|BrickBottom v4:1;           168.4057470895;148.026185897;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:18|D3DF_SC_Cell v6:1;          166.4;147.95;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:18|BrickTop v4:1;              164.0930670789;147.9511759313;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:18|Fiber v4:1;                 166.3999999999;42.95;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:18|FiberSleeve v4:1;           166.4;42.95;101.5499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:19;                            127.9235731815;119.2941443429;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:19|BrickBottom v4:1;           129.9057470895;133.326185897;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:19|D3DF_SC_Cell v6:1;          127.9;133.25;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:19|BrickTop v4:1;              125.5930670789;133.2511759313;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:19|Fiber v4:1;                 127.8999999999;28.25;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:19|FiberSleeve v4:1;           127.9;28.25;67.7499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:20;                            127.9235731815;119.2941443429;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:20|BrickBottom v4:1;           129.9057470895;133.326185897;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:20|D3DF_SC_Cell v6:1;          127.9;133.25;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:20|BrickTop v4:1;              125.5930670789;133.2511759313;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:20|Fiber v4:1;                 127.8999999999;28.25;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:20|FiberSleeve v4:1;           127.9;28.25;84.6499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:21;                            127.9235731815;119.2941443429;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:21|BrickBottom v4:1;           129.9057470895;133.326185897;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:21|D3DF_SC_Cell v6:1;          127.9;133.25;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:21|BrickTop v4:1;              125.5930670789;133.2511759313;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:21|Fiber v4:1;                 127.8999999999;28.25;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:21|FiberSleeve v4:1;           127.9;28.25;101.5499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:22;                            143.3235731815;119.2941443429;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:22|BrickBottom v4:1;           145.3057470895;133.326185897;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:22|D3DF_SC_Cell v6:1;          143.3;133.25;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:22|BrickTop v4:1;              140.9930670789;133.2511759313;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:22|Fiber v4:1;                 143.2999999999;28.25;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:22|FiberSleeve v4:1;           143.3;28.25;67.7499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:23;                            143.3235731815;119.2941443429;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:23|BrickBottom v4:1;           145.3057470895;133.326185897;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:23|D3DF_SC_Cell v6:1;          143.3;133.25;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:23|BrickTop v4:1;              140.9930670789;133.2511759313;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:23|Fiber v4:1;                 143.2999999999;28.25;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:23|FiberSleeve v4:1;           143.3;28.25;84.6499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:24;                            143.3235731815;119.2941443429;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:24|BrickBottom v4:1;           145.3057470895;133.326185897;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:24|D3DF_SC_Cell v6:1;          143.3;133.25;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:24|BrickTop v4:1;              140.9930670789;133.2511759313;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:24|Fiber v4:1;                 143.2999999999;28.25;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:24|FiberSleeve v4:1;           143.3;28.25;101.5499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:25;                            158.7235731815;119.2941443429;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:25|BrickBottom v4:1;           160.7057470895;133.326185897;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:25|D3DF_SC_Cell v6:1;          158.7;133.25;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:25|BrickTop v4:1;              156.3930670789;133.2511759313;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:25|Fiber v4:1;                 158.6999999999;28.25;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:25|FiberSleeve v4:1;           158.7;28.25;67.7499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:26;                            158.7235731815;119.2941443429;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:26|BrickBottom v4:1;           160.7057470895;133.326185897;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:26|D3DF_SC_Cell v6:1;          158.7;133.25;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:26|BrickTop v4:1;              156.3930670789;133.2511759313;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:26|Fiber v4:1;                 158.6999999999;28.25;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:26|FiberSleeve v4:1;           158.7;28.25;84.6499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:27;                            158.7235731815;119.2941443429;101.55
